#TYPE System.Management.Automation.PSCustomObject
"Name","LocalPackage"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\2A417EA652D484F40B27924FB6FB5D88","@{LocalPackage=C:\Windows\Installer\811c953.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\2A6EA5934A3171B4DADE5A6A4C3421DB","@{LocalPackage=C:\Windows\Installer\2387124c.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\2A749D2E016A80E40ACBEEE5B72B751B","@{LocalPackage=C:\Windows\Installer\238712cc.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\2ABA4DCAF0B645649B183D7AC624AAEF","@{LocalPackage=C:\Windows\Installer\4febad3.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\2B7BDC739D020BF4EACC97F63DEA6A3D","@{LocalPackage=C:\Windows\Installer\c2ea3aa.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\2BB7559D77E81734F89E58C044F19B78","@{LocalPackage=C:\Windows\Installer\811c570.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\2BD3D3B3F871AA44D9FF56144C8FBC11","@{LocalPackage=C:\Windows\Installer\b974803f.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\2C97D09C57B2B39489058E76F77D1B1E","@{LocalPackage=C:\Windows\Installer\8874734.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\2DADFD06052BAD640B7BE78F4D7020CD","@{LocalPackage=C:\Windows\Installer\811c440.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\2DF66E9B3BAC0B94ABFCA26E4686E032","@{LocalPackage=C:\Windows\Installer\8fad9743.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\2E828B66D7C7FA6439BAC5D2AA822506","@{LocalPackage=C:\Windows\Installer\811c6c0.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\2F9A87AA1E07BB043B062346C52F5EFB","@{LocalPackage=C:\Windows\Installer\8874a81.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\2FDE33F83AEA4A346AA8E050A546D6FD","@{LocalPackage=C:\Windows\Installer\6cce2037.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\304B8E92F1B503E4D8D19ECB97CFB586","@{LocalPackage=C:\Windows\Installer\238711da.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\30C26D453DB4CD344A89C2073C7A6BE5","@{LocalPackage=C:\Windows\Installer\c2ea448.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\30D9D89E81721914880847CA117E7FF3","@{LocalPackage=C:\Windows\Installer\6cd61272.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\311308689B311B04F8A225E9FAF4BDFB","@{LocalPackage=C:\Windows\Installer\811cd43.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\31383CF3425EA954C832E8BC58E7F614","@{LocalPackage=C:\Windows\Installer\811c997.msp}"
